txtDescricao;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2022;328861.48;71.09;328790.39;11312
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2014;274538.02;50.0;274488.02;3942
ASSINATURA DE PUBLICAÇÕES;2019;279585.53;788.56;270259.41;33575
ASSINATURA DE PUBLICAÇÕES;2018;251280.55;3416.45;247864.1;38995
ASSINATURA DE PUBLICAÇÕES;2012;248514.91999999998;2378.11;245577.06;26568
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2021;243800.0;0.0;243001.77;3192
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2020;243711.31;6408.11;234579.94;254240
ASSINATURA DE PUBLICAÇÕES;2011;231710.59;971.35;230739.24;30157
ASSINATURA DE PUBLICAÇÕES;2010;226547.35;2464.76;224082.59;27560
LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES;2014;229582.66;9481.66;220101.0;8316
PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;2016;233685.65;22694.09;209618.37;2200
ASSINATURA DE PUBLICAÇÕES;2020;187002.77;151.91;186850.86000000002;29904
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2022;190226.33;4131.58;186061.93;183008
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2018;184872.69;0.0;184872.69;2310
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2020;181550.0;0.0;181550.0;2632
ASSINATURA DE PUBLICAÇÕES;2015;176256.99;821.3299999999999;174727.66;31005
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2022;148950.0;0.0;148950.0;1568
ASSINATURA DE PUBLICAÇÕES;2021;147772.66;2.0;147770.66;23184
ASSINATURA DE PUBLICAÇÕES;2013;144797.91;51.87;143401.9;21978
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2019;135205.62;500.46999999999997;134705.15;62912
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2017;128582.86;332.44;127959.24;80465
PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;2017;128034.75;10902.8;117131.91;1595
ASSINATURA DE PUBLICAÇÕES;2014;116172.48;508.08;115664.4;17064
PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;2019;112187.34;138.64;112048.7;2295
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2017;110380.8;0.0;110244.53;1485
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2019;105950.0;100.0;105850.0;1679
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2016;94378.1;182.78;94195.31999999999;50325
ASSINATURA DE PUBLICAÇÕES;2009;91292.05;505.18;90786.87;17172
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2015;88904.39;316.0;88588.39;53973
PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;2018;87767.55;109.28;87658.27;990
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2018;85934.03;262.76;85671.27;51040
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2013;69543.98;0.0;68969.15;972
ASSINATURA DE PUBLICAÇÕES;2022;68049.98;9.0;68040.98;9128
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2014;67407.5;0.4;67407.1;44118
TELEFONIA;2008;61982.85;9.79;61973.06;11024
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2013;60482.11;0.0;60250.27;97146
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2021;46841.37;436.73;46404.64;24360
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2022;44634.97;484.07;44150.9;17640
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2008;41732.0;2388.96;39343.0;265
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2015;36932.2;0.0;36932.2;2244
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2008;43635.27;8665.28;34969.99;3127
LOCOMOÇÃO, ALIMENTAÇÃO E  HOSPEDAGEM;2008;32711.43;413.03999999999996;32298.39;4876
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2020;29622.670000000002;55.400000000000006;29567.27;14840
LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;2016;28006.16;0.0;27994.43;1705
DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2008;24280.0;2059.57;22220.43;318
PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;2015;22440.0;2035.8;20404.2;165
COMBUSTÍVEIS E LUBRIFICANTES.;2008;28355.22;10592.28;17762.94;2703
PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;2020;24080.0;7302.84;16777.16;336
PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;2021;17836.15;2302.84;15533.31;224
PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;2013;6791.05;0.0;6791.05;3618
"AQUISIÇÃO OU LOC. DE SOFTWARE; SERV. POSTAIS; ASS.";2008;1992.3600000000001;8.49;1983.8700000000001;742
AQUISIÇÃO DE MATERIAL DE ESCRITÓRIO.;2008;1458.45;132.25;1326.2;530
