txNomeParlamentar;sgPartido;codLegislatura;numAno;vlrDocumento;vlrGlosa;vlrLiquido;nomeEsgPartido
NEWTON LIMA;PT;54;2015;37823.75;71.77000000000001;34418.05;NEWTON LIMA (PT)
NARCIO RODRIGUES;PSDB;54;2013;35319.46;913.55;34405.909999999996;NARCIO RODRIGUES (PSDB)
Jhc;PSB;55;2019;34489.61;0.0;34405.13;Jhc (PSB)
Roberto Alves;PRB;55;2019;34395.99;17.41;34378.58;Roberto Alves (PRB)
Paes Landim;PTB;53;2011;34683.42;307.2;34376.22;Paes Landim (PTB)
GERALDO SIMÕES;PT;54;2015;35234.83;860.0;34374.83;GERALDO SIMÕES (PT)
SILVIO COSTA;PTB;53;2011;34387.6;32.95;34354.65;SILVIO COSTA (PTB)
Rafael Motta;PSB;55;2019;34739.23;388.57;34350.66;Rafael Motta (PSB)
SALVADOR ZIMBALDI;PROS;54;2015;34417.5097;68.0;34349.51;SALVADOR ZIMBALDI (PROS)
EDSON SILVA;PROS;54;2015;34302.479999999996;0.0;34302.479999999996;EDSON SILVA (PROS)
ÂNGELO AGNOLIN;PDT;54;2015;34328.239;60.09;34268.15;ÂNGELO AGNOLIN (PDT)
Fernando Coelho Filho;DEM;55;2019;34256.36;0.0;34256.36;Fernando Coelho Filho (DEM)
Beto Rosado;PP;55;2019;34496.03;246.13;34249.9;Beto Rosado (PP)
Arnaldo Jardim;PPS;55;2019;34249.26;0.0;34249.26;Arnaldo Jardim (PPS)
ACELINO POPÓ;PRB;54;2015;34561.3439;321.2;34240.14;ACELINO POPÓ (PRB)
DELEGADO EDSON MOREIRA;PR;55;2019;34219.17;0.0;34219.17;DELEGADO EDSON MOREIRA (PR)
ALBERTO FILHO;PMDB;54;2015;34404.953;200.0;34204.95;ALBERTO FILHO (PMDB)
HELCIO SILVA;PT;54;2015;34219.61;17.04;34202.57;HELCIO SILVA (PT)
PEDRO EUGÊNIO;PT;53;2011;34204.89;33.74;34171.15;PEDRO EUGÊNIO (PT)
PAULO BORNHAUSEN;PSB;54;2015;34301.6481;130.56;34171.09;PAULO BORNHAUSEN (PSB)
Misael Varella;PSD;55;2019;34199.77;101.95;34097.82;Misael Varella (PSD)
